,condition,sujet,ERD
0,pendule,0,-0.21098646992113684
1,main,0,-0.23595105074960743
2,mainIllusion,0,-0.27204405790817576
3,pendule,2,-0.10950290292094512
4,main,2,-0.11843638498745385
5,mainIllusion,2,-0.06033701318122429
6,pendule,4,-0.3045938494876628
7,main,4,-0.34045230120266257
8,mainIllusion,4,-0.4067259201581045
9,pendule,5,0.023811341069590326
10,main,5,-0.08488640871207545
11,mainIllusion,5,-0.06360797258274675
12,pendule,6,0.027344537143775764
13,main,6,-0.26627763530558246
14,mainIllusion,6,-0.07378478705718165
15,pendule,7,-0.19347242174437226
16,main,7,-0.2718337538989065
17,mainIllusion,7,-0.3982227875356943
18,pendule,8,-0.28783401929208363
19,main,8,-0.3842998826109755
20,mainIllusion,8,-0.3309579898867294
21,pendule,9,-0.1779380425896484
22,main,9,-0.13550840819437404
23,mainIllusion,9,-0.3050488645161073
24,pendule,10,-0.27306439600317445
25,main,10,-0.23036143578881754
26,mainIllusion,10,-0.5152210840569853
27,pendule,11,-0.20381686144500985
28,main,11,-0.3175655152104123
29,mainIllusion,11,-0.2487752420670996
30,pendule,12,-0.1639899577034517
31,main,12,-0.1793131226119734
32,mainIllusion,12,-0.05717998147738178
33,pendule,13,-0.24097174412414651
34,main,13,-0.29422015438441607
35,mainIllusion,13,-0.23168480434734134
36,pendule,14,-0.26888876961221925
37,main,14,-0.5580948452892113
38,mainIllusion,14,-0.47457578394215805
39,pendule,15,-0.13434131029707796
40,main,15,-0.38351693177256707
41,mainIllusion,15,-0.20171218134529745
42,pendule,16,-0.14414823136409075
43,main,16,-0.2872697942553085
44,mainIllusion,16,-0.30250502318091455
45,pendule,17,0.05767838680199748
46,main,17,-0.2881739642465899
47,mainIllusion,17,0.07210179907117972
48,pendule,18,-0.17930659394766216
49,main,18,-0.35403283224346505
50,mainIllusion,18,-0.13376613894353825
51,pendule,19,-0.1560230169853511
52,main,19,-0.16824965885472615
53,mainIllusion,19,-0.05455529683888913
54,pendule,20,-0.21991180581882955
55,main,20,-0.2241509795155312
56,mainIllusion,20,-0.047102871333833216
57,pendule,21,-0.30897672725920944
58,main,21,-0.2796042437299411
59,mainIllusion,21,-0.30669972184476957
60,pendule,22,-0.5823658177366355
61,main,22,-0.6452905561102045
62,mainIllusion,22,-0.6581828718816704
63,pendule,23,-0.545637074888903
64,main,23,-0.44847424862170965
65,mainIllusion,23,-0.3618193750874174
66,pendule,24,-0.34883226293254177
67,main,24,-0.2768411301864159
68,mainIllusion,24,-0.3378361477272832
